QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q00.2	Awareness of existence UNFPOS	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	Yes	N/A	N/A
Q00.2	Awareness of existence UNFPOS	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	Yes	Yes	No
Q00.2	Awareness of existence UNFPOS	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	Yes	No	Yes
Q00.2	Awareness of existence UNFPOS	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	Yes	N/A	Yes
Q00.2	Awareness of existence UNFPOS	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	Yes	Yes	No
Q00.2	Awareness of existence UNFPOS	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	Yes	No	No
Q00.2	Awareness of existence UNFPOS	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	Yes	N/A	N/A
Q00.2	Awareness of existence UNFPOS	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	Yes	No	Yes
