QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	https://data.gov.ph/
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	Central data portal mentioned in point 8.5 concearns the services of official statistics which are Statistics Poalnd President, as well as directors of statistical offices and units supervised by the Statistics Poalnd President.Morover, open data website is provided by Ministry of Digital Affairs.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	www.statsenegal.comhttp://anads.ansd.sn/index.php/cataloghttp://nso.senegal.opendataforafrica.org/rarkwmf/national-summary-data-page-nsdphttp://sigstat.ansd.sn/http://senegal.opendataforafrica.org/
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	IMF OPENDATA PLATFORM
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	Please refer to the SingStat Website (www.singstat.gov.sg) and SingStat Table Builder (www.singstat.gov.sg/tablebuilder)
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	There is Open Data Portal Slovenia (OPSI) available via https://podatki.gov.si/. At the moment, most of the data are published by SURS, partly also by other members of NSS. The goal is to publish all statistics from all NSS members and also from other state bodies in Slovenia on this portal in the future.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	Official Statistics Portal http://www.officialstatistics.gov.tr/?q=en
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	Open data portal: https://data.gov.ua/
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	The central release calendar and corresponding portals in Wales, Scotland and Northern Ireland include links through to all official statistical data. Individual departments also provide their own data portals for subject-specific outputs, and the NSO has a dedicated web platform with API support for statistical data dissemination, but this does not cover all outputs produced across UK ogvernment.UK government has a central data portal data.gov.uk, which contains open data statistical outputs. Once again, this is not an exhaustive set.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	The home of the US Government's open data is: DATA.govHowever, data releases are available at the data producing agency's site.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	Data published through the Zimbabwe statistics database
