QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	1	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	1	1	0	1	1	0	0	Since 2012, the Rosstat has a Public Council, which is designed to ensure that the needs and interests of citizens of the Russian Federation are taken into account when implementing state policy in the field of official statistics, as well as with a view to undertake public control over Rosstat activities.
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	0	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	1	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	1	1	0	1	0	0	Registre des visites de la bibliothèque de l'ANSD
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	0	1	0	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	0	0	1	0	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	0	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	1	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	0	0	0	0	1	0	0	Analysis of Information Requests
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	1	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	1	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	1	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	1	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	0	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	1	1	1	1	1	0	0	Articles regarding methodologies and/or experimental estimates invite datauser feedback
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	1	1	0	0	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	0	0	0	1	0	0	0	
